"""X"",""Y"",""OBJECTID"",""src_geo"",""clc_quartier"",""clc_secteur"",""id_arbre"",""haut_tot"",""haut_tronc"",""tronc_diam"",""fk_arb_etat"",""fk_stadedev"",""fk_port"",""fk_pied"",""fk_situation"",""age_estim"",""villeca"",""feuillage"",""remarquable"",""lng"",""lat"""
"1719246.1394,8293035.3315,44,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""17"",7,4,115,""en_place"",""adulte"",""réduit"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26752921381262,49.8362515435834"
"1719233.8917,8293026.5995,45,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""18"",7,4,137,""en_place"",""adulte"",""réduit"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26735853971088,49.8361734267389"
"1719196.5378,8293000.8517,46,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""19"",10,4.5,165,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26683805231656,49.8359431235314"
"1719145.7456,8292965.0223,47,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""20"",10,4.5,140,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26613028425575,49.8356226033555"
"1719133.5237,8292956.3164,48,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""21"",10,4.5,140,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26595997445926,49.8355447182945"
"1719024.9804,8292878.7828,49,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""22"",10,4,160,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.26444745795493,49.8348510636735"
"1718998.7113,8292861.3443,50,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""23"",10,4,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.26408147689516,49.8346951054093"
"1718985.9338,8292851.8974,51,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""24"",10,4,160,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.26390341501276,49.8346105727671"
"1718972.7598,8292841.7101,52,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""25"",10,4.5,163,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.26371980671842,49.834519395687"
"1718948.4483,8292824.4302,53,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""26"",10,4,139,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.26338104826488,49.8343647999636"
